testcase	rpm	encoder_resolution	kp	ki	traj_type	v_max	estimator_name	p_err_max	p_err_max_pct	p_err_mean	p_err_mean_pct	p_err_rms	p_err_rms_pct	v_err_max	v_err_max_pct	v_err_mean	v_err_mean_pct	v_err_rms	v_err_rms_pct	a_err_max	a_err_max_pct	a_err_mean	a_err_mean_pct	a_err_rms	a_err_rms_pct
2514	28	360	10	12.0450354025878	VelocityStep	168	PITrackingLoop(kp=10,ki=12)	14.0979663682115	40.8973175313484	10.3399127471314	13.7356179186717	10.6697770397657	16.8483646752539	18.7110760428826	11.1375452636206	-9.6401401394126	-5.73817865441226	11.161393284605	6.64368647893154	8629.33768956253	Inf	-32.2177488508594	NaN	3761.06079243879	Inf
2515	30	360	10	12.0450354025878	VelocityStep	180	PITrackingLoop(kp=10,ki=12)	15.0474277734472	40.806468919383	11.0344037621756	13.6870605599243	11.3894492425849	16.7962046481648	19.4694134689962	10.816340816109	-10.3681996192463	-5.76011089958127	11.9093380923882	6.61629894021568	8516.22199854046	Inf	-26.0432504753211	NaN	3857.19652260231	Inf
2516	32	360	10	12.0450354025878	VelocityStep	192	PITrackingLoop(kp=10,ki=12)	16.0214920790689	40.7423276454815	11.7390820447342	13.655301166855	12.1188554157065	16.7628711381247	20.4513599565142	10.6517499773512	-11.0646995945944	-5.76286437218458	12.6626969209108	6.59515464630773	8425.90057063174	Inf	-32.7153562298252	NaN	3958.4325197949	Inf
2517	34	360	10	12.0450354025878	VelocityStep	204	PITrackingLoop(kp=10,ki=12)	17.0006791459188	40.7021911470092	12.4418966321737	13.6248184751341	12.8463236094051	16.7294151930937	21.505557845331	10.5419401202603	-11.7679154568341	-5.76858600825201	13.3838120901621	6.56069220105987	8317.25784947744	Inf	-39.3911995362009	NaN	4053.29507090867	Inf
2518	36	360	10	12.0450354025878	VelocityStep	216	PITrackingLoop(kp=10,ki=12)	17.9654335503982	40.6234076224118	13.1408506531751	13.5947549831691	13.5702671076014	16.6976423358659	22.4189472953489	10.3791422663652	-12.4608994879305	-5.76893494811598	14.1513914422587	6.55157011215679	8210.44968368079	Inf	-33.5350252554375	NaN	4132.47194518237	Inf
2519	38	360	10	12.0450354025878	VelocityStep	228	PITrackingLoop(kp=10,ki=12)	18.9362406258075	40.5659624059751	13.8437884382578	13.5709219859233	14.2979280166298	16.671674205386	23.3922108968794	10.2597416214383	-13.1533784887722	-5.76902565297027	14.9099896146609	6.53946912923723	8114.06970930057	Inf	-40.2418823056347	NaN	4216.29700518289	Inf
2520	40	360	10	12.0450354025878	VelocityStep	240	PITrackingLoop(kp=10,ki=12)	19.8875975259995	40.468596967166	14.5270168547385	13.5332070255981	15.0066302493057	16.6309272525673	24.1705928601829	10.0710803584095	-13.8495055308342	-5.77062730451426	15.6691575642827	6.52881565178448	8014.69289713992	Inf	-34.3449810099483	NaN	4286.09298683571	Inf
2521	42	360	10	12.0450354025878	VelocityStep	252	PITrackingLoop(kp=10,ki=12)	20.9047110963772	40.4418704831699	15.2483851833549	13.5296848946644	15.7524127377366	16.6277360638716	25.5117263490741	10.1237009321723	-14.4859979426912	-5.74841188202032	16.4153016936668	6.51400860859792	7914.74061181191	Inf	-28.9507035553791	NaN	4352.92695975289	Inf
2522	44	360	10	12.0450354025878	VelocityStep	264	PITrackingLoop(kp=10,ki=12)	21.8487937348946	40.4224975143537	15.9443697499306	13.5066570201477	16.4731307563478	16.6026741506498	26.3104388665896	9.96607532825364	-15.2408816694085	-5.77306123841233	17.1723056667485	6.50466123740475	7811.25744346284	Inf	-47.7757348799888	NaN	4429.23257135355	Inf
2523	46	360	10	12.0450354025878	VelocityStep	276	PITrackingLoop(kp=10,ki=12)	22.8232057404456	40.3944748317386	16.6488816165315	13.4918197319074	17.2020231002842	16.5866681433961	27.3185548194509	9.89802710849671	-15.9346569111451	-5.77342641708154	17.9281719536168	6.49571447594812	7696.54222966278	Inf	-41.9183641166685	NaN	4486.32540428453	Inf
